Order,Property Name,Parent Property Id,Parent Property Name,Street Number,Street Name,Borough,Primary Property Type - Self Selected,List of All Property Use Types at Property,Largest Property Use Type,Largest Property Use Type - Gross Floor Area (ft²),2nd Largest Property Use Type,2nd Largest Property Use - Gross Floor Area (ft²),3rd Largest Property Use Type,3rd Largest Property Use Type - Gross Floor Area (ft²),Year Built,Occupancy,Metered Areas (Energy),Metered Areas  (Water),ENERGY STAR Score,Source EUI (kBtu/ft²),Weather Normalized Source EUI (kBtu/ft²),Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Fuel Oil #1 Use (kBtu),Fuel Oil #2 Use (kBtu),Fuel Oil #4 Use (kBtu),Fuel Oil #5 & 6 Use (kBtu),Diesel #2 Use (kBtu),District Steam Use (kBtu),Natural Gas Use (kBtu),Weather Normalized Site Natural Gas Use (therms),Electricity Use - Grid Purchase (kBtu),Weather Normalized Site Electricity (kWh),Total GHG Emissions (Metric Tons CO2e),Direct GHG Emissions (Metric Tons CO2e),Indirect GHG Emissions (Metric Tons CO2e),Water Use (All Water Sources) (kgal),DOF Benchmarking Submission Status
700,Silverstein - 415 Stratford Rd,,,Not found,Not found,Brooklyn,Multifamily Housing,Multifamily Housing,Multifamily Housing,106889.0,,,,,1963,100.0,Whole Building,,71.0,99.6,104.3,71.6,75.9,3.5,0.6,,357558.0,,,,,6039752.7,64856.2,1256970.4,370913.2,458.8,347.3,111.4,,Not found
701,Silverstein - 67-14 41st Ave,,,Not found,Not found,Queens,Multifamily Housing,"Multifamily Housing, Office",Multifamily Housing,93172.0,Office,3600.0,,,1962,100.0,Whole Building,Whole Building,,107.8,112.6,75.5,80.4,4.0,0.6,,319470.0,,,,,5658715.7,61466.3,1328187.3,384743.1,442.0,324.3,117.8,5900.6,Not found
702,Silverstein - 43-14 60th St,,,Not found,Not found,Queens,Multifamily Housing,Multifamily Housing,Multifamily Housing,66825.0,,,,,1955,100.0,Whole Building,,85.0,88.5,93.6,62.4,67.1,3.2,0.6,,0.0,,,,,3437327.5,37465.8,734677.5,216379.4,247.7,182.6,65.1,,Not found
703,Silverstein - 40-70 Hampton St,,,Not found,Not found,Queens,Multifamily Housing,Multifamily Housing,Multifamily Housing,104449.0,,,,,1962,100.0,Whole Building,Whole Building,19.0,147.4,154.2,106.8,113.6,4.9,0.9,,203550.0,,,,,9180818.2,99150.8,1766385.4,511945.5,659.3,502.7,156.6,10210.2,Not found
704,Silverstein - 42-07 Elbertson St,,,Not found,Not found,Queens,Multifamily Housing,Multifamily Housing,Multifamily Housing,89046.0,,,,,1956,100.0,Whole Building,Whole Building,81.0,87.3,91.9,63.8,68.2,2.9,0.6,,303600.0,,,,,4503897.9,49002.8,873132.4,254977.0,339.2,261.8,77.4,6406.3,Not found
705,The Magellan,,,Not found,Not found,Manhattan,Multifamily Housing,"Multifamily Housing, Parking",Multifamily Housing,148598.0,Parking,6400.0,,,2003,100.0,Whole Building,,,,,,,,0.4,,,,,,,5799432.3,64566.5,,,,308.0,,,Not found
707,13-15 131st Street,,,Not found,Not found,Queens,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,69625.0,,,,,1908,100.0,Whole Building,,,99.3,,71.6,,3.4,,,,,,,,4183615.9,,802115.2,235086.5,293.3,222.2,71.1,,Not found
708,25-11 Union Street,,,Not found,Not found,Queens,Multifamily Housing,Multifamily Housing,Multifamily Housing,201824.0,,,,,1954,100.0,Whole Building,Whole Building,32.0,130.0,139.4,91.7,100.2,4.8,0.8,,,,,,,15263213.6,169333.5,3252907.5,965524.8,1099.1,810.7,288.4,10951.0,Not found
709,3077 Cross Bronx Expressway,,,Not found,Not found,Bronx,Multifamily Housing,Multifamily Housing,Multifamily Housing,127800.0,,,,,1971,100.0,Whole Building,Whole Building,51.0,118.1,,72.4,,5.9,0.6,,0.0,,,,,6677231.3,73348.8,2574439.3,754569.1,582.9,354.7,228.2,7707.9,Not found
710,488-500 Southern Boulevard,,,Not found,Not found,Bronx,Multifamily Housing,"Multifamily Housing, Retail Store",Multifamily Housing,265000.0,Retail Store,10000.0,,,1929,100.0,Whole Building,Whole Building,99.0,58.6,61.8,43.6,46.7,1.8,0.4,,,,,,,10316937.6,111749.7,1682203.5,489807.5,697.1,548.0,149.1,12072.1,Not found
